preloaded 1977 session snapshots in 26s
trend60         0.39     1.00     0.58     0.66    -0.23     0.28     0.21     0.30     0.27     0.12
ma200_10        0.59     0.58     1.00     0.46    -0.10     0.33     0.23     0.28     0.41     0.16
ma50_up         0.32     0.66     0.46     1.00    -0.27     0.24     0.18     0.37     0.21     0.11
beta_hi         0.01    -0.23    -0.10    -0.27     1.00     0.18     0.14    -0.16    -0.01    -0.01
absorb_fall     0.41     0.28     0.33     0.24     0.18     1.00     0.48     0.28     0.25     0.11
seccorr_lo      0.24     0.21     0.23     0.18     0.14     0.48     1.00     0.27     0.46     0.31
iv_rich         0.23     0.30     0.28     0.37    -0.16     0.28     0.27     1.00     0.35     0.20
iwm_decor       0.30     0.27     0.41     0.21    -0.01     0.25     0.46     0.35     1.00     0.34
vxn_lo          0.10     0.12     0.16     0.11    -0.01     0.11     0.31     0.20     0.34     1.00

=== C. ALL PAIRS (AND), panel means, n>=60, sorted ===
  trend120    +seccorr_lo   n= 86 mean=$   54.7 win=0.92
  beta_hi     +seccorr_lo   n= 84 mean=$   54.3 win=0.94
  trend120    +trend60      n= 88 mean=$   51.7 win=0.93
  ma200_10    +seccorr_lo   n=103 mean=$   43.7 win=0.90
  trend120    +ma200_10     n=118 mean=$   43.3 win=0.91
  trend60     +seccorr_lo   n= 88 mean=$   42.7 win=0.90
  trend60     +absorb_fall  n=113 mean=$   34.2 win=0.89
  trend120    +ma50_up      n= 99 mean=$   33.1 win=0.90
  trend60     +ma200_10     n=123 mean=$   31.9 win=0.88
  beta_hi     +absorb_fall  n=107 mean=$   30.6 win=0.88
  trend120    +iwm_decor    n= 77 mean=$   29.4 win=0.90
  beta_hi     +vxn_lo       n= 96 mean=$   29.1 win=0.90
  absorb_fall +iwm_decor    n=106 mean=$   27.7 win=0.87
  seccorr_lo  +iwm_decor    n=109 mean=$   27.5 win=0.86
  ma200_10    +ma50_up      n=134 mean=$   26.2 win=0.87

=== D. ENGINE CAP-2 (base fills) — 25 combos ===
combo                                    n    mean$            tradeCI               epCI  win  worst    tot
trend120 + >=2of4 core                  67    10.61 [ -47.45,  56.11] [ -26.23,  54.75] 0.85   -730    711
trend60 + >=2of4 core                   71    14.42 [ -42.67,  60.54] [ -24.78,  61.89] 0.87   -728   1024
ma200_10 + >=2of4 core                  78   -11.55 [ -65.26,  35.67] [ -61.90,  43.38] 0.79   -900   -901
beta_hi + >=2of4 core                   55    22.19 [ -34.94,  71.48] [ -37.10,  72.08] 0.87   -718   1220
trend120 + >=1of4 core                  70     3.93 [ -51.78,  46.32] [ -18.90,  43.04] 0.83   -730    275
trend120 + >=3of4 core                  48    22.42 [ -39.59,  68.73] [ -37.83,  69.15] 0.88   -728   1076
pair trend120+trend60                   45    47.01 [   2.12,  81.62] [  17.83,  82.71] 0.93   -674   2115
pair trend120+ma200_10                  59    32.64 [  -5.60,  62.61] [   7.45,  71.05] 0.86   -674   1926
pair trend120+beta_hi                   31    32.31 [ -53.97,  80.17] [ -34.02,  87.38] 0.87   -717   1002
pair trend120+absorb_fall               61     3.58 [ -57.02,  48.35] [ -33.70,  45.66] 0.84   -730    218
pair trend120+seccorr_lo                48    36.44 [ -13.92,  72.07] [ -10.22,  73.33] 0.88   -728   1749
pair trend60+ma200_10                   65    39.34 [   2.46,  76.05] [   9.78,  72.48] 0.89   -674   2557
pair trend60+beta_hi                    22    55.16 [  -8.51,  91.75] [   2.36,  89.12] 0.95   -603   1214
pair trend60+absorb_fall                63    19.18 [ -38.26,  60.44] [ -12.89,  64.26] 0.87   -728   1208
pair trend60+seccorr_lo                 48    15.68 [ -40.79,  61.00] [ -51.98,  66.39] 0.85   -728    752
pair ma200_10+beta_hi                   33    37.67 [ -48.55,  89.36] [ -40.03,  90.22] 0.91   -896   1243
pair ma200_10+absorb_fall               71    -5.63 [ -67.05,  37.74] [ -48.28,  45.27] 0.82   -900   -400
pair ma200_10+seccorr_lo                56     9.79 [ -47.91,  61.59] [ -56.35,  63.19] 0.84   -900    548
pair beta_hi+absorb_fall                53    21.59 [ -27.77,  64.20] [ -41.34,  66.60] 0.87   -733   1144
pair beta_hi+seccorr_lo                 44    27.57 [ -41.12,  78.90] [ -40.45,  80.66] 0.91   -896   1213
pair absorb_fall+seccorr_lo             77     3.05 [ -38.42,  41.65] [ -57.43,  46.83] 0.84   -900    235
triple trend120+absorb+seccorr          42    46.89 [   2.70,  76.02] [  -9.13,  77.61] 0.88   -728   1969
triple trend120+ma200+absorb            51    19.98 [ -28.90,  56.23] [ -19.72,  59.09] 0.84   -706   1019
triple ma200+absorb+seccorr             48    24.46 [ -43.07,  72.07] [ -33.98,  75.75] 0.88   -900   1174
triple trend120+beta+absorb             27    65.66 [  40.20,  85.62] [  37.57,  88.37] 0.93   -195   1773
shard 1/4 complete
