symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
QQQ,spy_rsp_ret60_diff,fwd21_ret,1113,-0.128,-0.321,0.075,-0.097,False,False
QQQ,spy_rsp_ret60_diff,fwd21_tail,1113,0.108,-0.034,0.259,0.173,False,False
QQQ,spy_rsp_ret60_diff,fwd21_rv,1113,0.034,-0.198,0.269,-0.026,False,False
QQQ,vix9d_vix_ratio,fwd21_ret,1113,0.108,0.003,0.248,0.156,True,True
QQQ,vix9d_vix_ratio,fwd21_tail,1113,0.006,-0.092,0.096,-0.059,False,False
QQQ,vix9d_vix_ratio,fwd21_rv,1113,0.183,0.026,0.315,-0.061,True,False
QQQ,vix_chg_20d,fwd21_ret,1113,0.016,-0.105,0.148,-0.035,False,False
QQQ,vix_chg_20d,fwd21_tail,1113,-0.028,-0.137,0.091,-0.057,False,False
QQQ,vix_chg_20d,fwd21_rv,1113,0.117,-0.056,0.253,-0.182,False,False
QQQ,vix_chg_5d,fwd21_ret,1113,-0.054,-0.131,0.031,-0.002,False,False
QQQ,vix_chg_5d,fwd21_tail,1113,-0.034,-0.112,0.045,-0.04,False,False
QQQ,vix_chg_5d,fwd21_rv,1113,0.045,-0.052,0.124,0.01,False,False
QQQ,vix_level,fwd21_ret,1113,0.212,0.022,0.399,0.261,True,True
QQQ,vix_level,fwd21_tail,1113,-0.033,-0.186,0.079,-0.196,False,False
QQQ,vix_level,fwd21_rv,1113,0.31,0.091,0.498,-0.133,True,False
QQQ,vix_pct_252,fwd21_ret,1113,0.044,-0.112,0.246,-0.005,False,False
QQQ,vix_pct_252,fwd21_tail,1113,0.089,-0.051,0.199,-0.122,False,False
QQQ,vix_pct_252,fwd21_rv,1113,0.405,0.228,0.547,-0.127,True,False
QQQ,vol_of_vol_20,fwd21_ret,1113,0.117,-0.045,0.27,0.222,False,False
QQQ,vol_of_vol_20,fwd21_tail,1113,-0.021,-0.158,0.107,-0.239,False,False
QQQ,vol_of_vol_20,fwd21_rv,1113,-0.015,-0.195,0.157,-0.174,False,False
QQQ,vvix_level,fwd21_ret,1113,0.121,-0.057,0.324,0.041,False,False
QQQ,vvix_level,fwd21_tail,1113,-0.074,-0.221,0.062,-0.166,False,False
QQQ,vvix_level,fwd21_rv,1113,0.106,-0.116,0.32,-0.17,False,False
SPY,slope_10y2y,fwd21_ret,1113,0.083,-0.095,0.246,0.159,False,False
SPY,slope_10y2y,fwd21_tail,1113,-0.172,-0.322,-0.045,-0.096,True,True
SPY,slope_10y2y,fwd21_rv,1113,-0.188,-0.461,0.101,-0.107,False,False
SPY,slope_10y3m,fwd21_ret,1113,-0.076,-0.268,0.131,-0.015,False,False
SPY,slope_10y3m,fwd21_tail,1113,0.048,-0.164,0.245,0.029,False,False
SPY,slope_10y3m,fwd21_rv,1113,0.101,-0.173,0.383,0.075,False,False
SPY,y10_level,fwd21_ret,1113,-0.232,-0.423,-0.045,0.022,True,False
SPY,y10_level,fwd21_tail,1113,0.211,0.085,0.348,-0.038,True,False
SPY,y10_level,fwd21_rv,1113,0.159,-0.106,0.4,-0.15,False,False
